"","year","month","acc","clothes","shoes","pc","phones","restaurant","bakery","cleaning","cupboard","dairy","drinks","meat","pets","readyM","stat","veggies","yummy","grooming","makeup","pharmacy","crafts","others","plants","kitchen","living","cars","public","work"
"mtype",18,10,0,6,0,0,0,26.3,16.9,16.57,27.8,19.01,5.06,48.53,20.56,0,7.55,27.44,6.47,2.32,0,32.9,0,0,5,0,0,15.68,0,0
"mtype",18,11,0,6.9,10,0,30.95,3,24.24,10.93,39.73,38.62,12.89,52.96,4.12,10.6,0,63.02,7.93,5.34,0,74.06,0,0,8.96,0,0,0.4,0,0
"mtype",18,12,0,0,0,0,0,28.3,20.92,10.22,47.58,31.34,21.06,65.71,10.43,9.46,0,69.22,25.6,9.85,0,62.76,9.4,12.1,1.99,0,0,20,0,4
"mtype",19,1,0,0,37.46,2.5,0,334.53,4.16,16.24,23.99,27.8,20.22,91.56,22.32,10.17,3.9,70.91,7.48,11.42,2.1,16.01,2.85,0,5.06,2,2,1.5,0,1.4
"mtype",19,2,12.49,0,19.9,0,0,55.7,14.17,23.1,23.47,25.83,10.25,79.51,3.91,0.99,2.5,67.39,30.51,4.62,0,18.18,5.9,0,11.33,0,0,0,7.2,0
"mtype",19,3,0,0,0,0,0,5.1,16.37,1.19,24.19,14.48,13.19,44.05,6,2.18,0,38.84,20.33,4.81,0,0,0,0,0,0,0,0,0,0
